,0,1,2,3,4,5
0,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
1,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
2,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
3,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
4,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
5,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
6,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
7,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
8,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
9,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
10,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
11,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
12,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
13,"[0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 2, 1]"
